"9cfcf1c8cfc9fba73dda789269ad48be","2B","Oui. Les formes de vie mécaniques sont des armes créées par des extraterrestres. La Terre est tombée entre leurs mains, et le groupe YoRHa se bat pour la reconquérir."
"7b1827c776daec1f58d89bbd326053c2","9S","Procédons ainsi : je me charge du réacteur du sud, pendant que vous vous occupez de celui à côté du Logistikon bêta. Vous êtes d'accord ? Alors à plus tard !"
"46c640323b229abde017ad56b79e2cf9",Alayla,"Grâce à vos glaces, nous avons passé un moment inoubliable, en famille. Je ne sais pas comment vous remercier."
"9281b11224d9a2a9e6ebb1565f7fe7a0",Alisaie,"De Ga Bu, voyons, qui d'autre ? Sa subjugation par Titan à la suite du meurtre de ses parents a été si intense qu'il s'est retrouvé dans un état végétatif comparable à celui de Halric. Et si son âme pouvait être traitée de la même manière ?"
a2903f667c63009d3cb10719647e4505,Allagan Node,"Je vous rappelle que si vous vous écartez du chemin que j'aurai tracé, vous risquez d'enclencher le système de sécurité. Je ne pourrai en aucun cas être tenue responsable en cas de décès de votre part. Merci de votre compréhension."
"65df1b93b9d38f4f2cd15e4a9f786fb4",Alphinaud,"Tout l'historique de l'organisation y est, de sa fondation pleine d'espoirs et de promesses à son lamentable dénouement. J'ai tenté d'y inclure tous les détails, les avantages comme les inconvénients objectifs, et je pense avoir fait le tour de la question."
e3b95af838cca096ddfb5e66e8d504f7,Amaljaa,"Transmis de génération en génération, les outils de chasse miqo'tes sont, à ce qu'on raconte. Nos amis, les Miqo'tes ne sont pas. Mais un comportement digne des Amalj'aa, humilier sans raison autrui n'est pas. Tolérer les vilenies de nos frères de race, nous ne saurions. "
"957b562017ad26fd3bfef9fcc163df39",Amaro,"Je n'aspirais qu'à vivre aux côtés des humains, mais le destin a voulu que je tombe entre les mains des pires d'entre eux... À chaque fois que vous vouliez communiquer avec moi, j'étais tétanisé par la peur..."
"24868a6ed39f258d30ca80cc4377909f",Ananta,"La fin de l'oppression garlemaldaise ne signifie pas que tous nos problèmes aient disparu comme par enchantement. Pour que nous puissions vivre à la fois en paix et dans la plus totale indépendance, notre tribu doit être dirigée par une main de fer dans un gant de velours, si je puis dire. Ssss..."
"199202dfa79d4c890e3627e863bd1137",Ardbert,"En te joignant à nous, tu vivras toutes sortes d'aventures et de rencontres, et l'une d'entre elles pourrait bien t'apporter la solution au problème qui te préoccupe tant."
"01dac01ecc0fe7772b4e5f06ce58b8a1",Arenvald,"Au bout d'un temps, j'en ai eu assez de mener cette vie de larcins et j'ai quitté Ala Mhigo. Je me suis fondu dans un groupe de réfugiés cherchant asile, et avec eux, j'ai franchi la muraille. De l'autre côté, je me suis réinventé aventurier, et de fil en aiguille, j'ai rejoint les Héritiers."
b4cf9dc3f6785498a445ee35f01ddbbc,Artoirel,"Je vais l'emmener au Nid du faucon pour qu'il reçoive des soins et je reviendrai avec des renforts. Pendant ce temps-là, j'aimerais que vous fouilliez la zone qui se trouve au nord du camp. Si vous trouvez une piste, ne m'attendez pas et suivez-la jusqu'à leur repaire."
"3ef9293abacf49da27ee0cf0410fc580",A-Ruhn-Senna,"Moi aussi, je vais essayer de changer. Comme A-Towa, j'essaierai de m'adapter et de voyager au-dehors quand le besoin s'en fait sentir, par exemple si jamais une nouvelle menace plane sur la Sylve. Les solutions peuvent se trouver à l'extérieur ; c'est la leçon que j'ai retenue de toute cette aventure."
